Gene stable ID,Gene name
ENSMUSG00000029556,Hnf1a
ENSMUSG00000005897,Nr2c1
ENSMUSG00000031870,Pgr
ENSMUSG00000044636,Csrnp2
ENSMUSG00000035934,Pknox2
ENSMUSG00000030256,Bhlhe41
ENSMUSG00000009733,Tfcp2
ENSMUSG00000074397,Foxr1
ENSMUSG00000025602,Zfp202
ENSMUSG00000029646,Cdx2
ENSMUSG00000039699,Batf2
ENSMUSG00000023034,Nr4a1
ENSMUSG00000003154,Foxj2
ENSMUSG00000018604,Tbx3
ENSMUSG00000075394,Hoxc4
ENSMUSG00000022479,Vdr
ENSMUSG00000000435,Myf5
ENSMUSG00000020037,Rfx4
ENSMUSG00000099083,Atf7
ENSMUSG00000002111,Spi1
ENSMUSG00000044167,Foxo1
ENSMUSG00000025408,Ddit3
ENSMUSG00000002578,Ikzf4
ENSMUSG00000030353,Tead4
ENSMUSG00000079215,Zfp664
ENSMUSG00000004359,Spic
ENSMUSG00000020052,Ascl1
ENSMUSG00000022484,Hoxc10
ENSMUSG00000032015,Pou2f3
ENSMUSG00000052414,Gm28047
ENSMUSG00000009739,Pou6f1
ENSMUSG00000058794,Nfe2
ENSMUSG00000001280,Sp1
ENSMUSG00000040632,Nrl
ENSMUSG00000052435,Cebpe
ENSMUSG00000048921,Zfp689
ENSMUSG00000018973,Hoxb1
ENSMUSG00000031665,Sall1
ENSMUSG00000001496,Nkx2-1
ENSMUSG00000030544,Mesp1
ENSMUSG00000001497,Pax9
ENSMUSG00000033943,Mga
ENSMUSG00000057156,Homez
ENSMUSG00000030557,Mef2a
ENSMUSG00000049728,Zfp668
ENSMUSG00000050619,Zscan29
ENSMUSG00000005836,Gata6
ENSMUSG00000038872,Zfhx3
ENSMUSG00000058669,Nkx2-9
ENSMUSG00000020871,Dlx4
ENSMUSG00000031738,Irx6
ENSMUSG00000049532,Sall2
ENSMUSG00000001444,Tbx21
ENSMUSG00000094817,Cphx3
ENSMUSG00000039789,Zfp597
ENSMUSG00000062012,Zfp13
ENSMUSG00000041515,Irf8
ENSMUSG00000023781,Hes7
ENSMUSG00000020889,Nr1d1
ENSMUSG00000037992,Rara
ENSMUSG00000015709,Arnt2
ENSMUSG00000020919,Stat5b
ENSMUSG00000096014,Sox1
ENSMUSG00000047388,Atmin
ENSMUSG00000054939,Zfp174
ENSMUSG00000047407,Tgif1
ENSMUSG00000038482,Tfdp1
ENSMUSG00000055639,Dach1
ENSMUSG00000005718,Tfap4
ENSMUSG00000017801,Mlx
ENSMUSG00000038721,Hoxb7
ENSMUSG00000004043,Stat5a
ENSMUSG00000095975,Cphx1
ENSMUSG00000020538,Srebf1
ENSMUSG00000078580,E430018J23Rik
ENSMUSG00000001493,Meox1
ENSMUSG00000005267,Zfp287
ENSMUSG00000018678,Sp2
ENSMUSG00000040321,Zfp770
ENSMUSG00000023411,Nfatc4
ENSMUSG00000031734,Irx3
ENSMUSG00000000282,Mnt
ENSMUSG00000043013,Onecut1
ENSMUSG00000056648,Hoxb8
ENSMUSG00000031728,Zfp821
ENSMUSG00000027210,Meis2
ENSMUSG00000022245,Skor1
ENSMUSG00000036442,Thap11
ENSMUSG00000097084,Foxl1
ENSMUSG00000042320,Prox2
ENSMUSG00000059436,Max
ENSMUSG00000030678,Maz
ENSMUSG00000098463,Cphx2
ENSMUSG00000061524,Zic2
ENSMUSG00000043099,Hic1
ENSMUSG00000040721,Zfhx2
ENSMUSG00000005621,Zfp592
ENSMUSG00000000093,Tbx2
ENSMUSG00000031902,Nfatc3
ENSMUSG00000037674,Rfx7
ENSMUSG00000021255,Esrrb
ENSMUSG00000051469,Zfp24
ENSMUSG00000002057,Foxn1
ENSMUSG00000041287,Sox15
ENSMUSG00000034266,Batf
ENSMUSG00000005698,Ctcf
ENSMUSG00000075595,Zfp652
ENSMUSG00000045251,Zfp688
ENSMUSG00000051367,Six1
ENSMUSG00000021239,Vsx2
ENSMUSG00000045598,Zfp553
ENSMUSG00000023902,Zscan10
ENSMUSG00000051510,Mafg
ENSMUSG00000030757,Zkscan2
ENSMUSG00000046714,Foxc2
ENSMUSG00000021010,Npas3
ENSMUSG00000024137,E4f1
ENSMUSG00000000690,Hoxb6
ENSMUSG00000025105,Bnc1
ENSMUSG00000055435,Maf
ENSMUSG00000000567,Sox9
ENSMUSG00000018168,Ikzf3
ENSMUSG00000032402,Smad3
ENSMUSG00000020679,Hnf1b
ENSMUSG00000017724,Etv4
ENSMUSG00000030699,Tbx6
ENSMUSG00000021264,Yy1
ENSMUSG00000056459,Zbtb25
ENSMUSG00000038692,Hoxb4
ENSMUSG00000033713,Foxn3
ENSMUSG00000038255,Neurod2
ENSMUSG00000014859,E2f4
ENSMUSG00000055835,Zfp1
ENSMUSG00000048251,Bcl11b
ENSMUSG00000018347,Zkscan6
ENSMUSG00000021055,Esr2
ENSMUSG00000021099,Six6
ENSMUSG00000018377,Vezf1
ENSMUSG00000034271,Jdp2
ENSMUSG00000052040,Klf13
ENSMUSG00000021095,Gsc
ENSMUSG00000045333,Zfp423
ENSMUSG00000048349,Pou4f1
ENSMUSG00000024276,Zfp397
ENSMUSG00000033454,Zbtb1
ENSMUSG00000003949,Hlf
ENSMUSG00000033249,Hsf4
ENSMUSG00000000094,Tbx4
ENSMUSG00000014303,Glis2
ENSMUSG00000037638,Zbtb42
ENSMUSG00000049672,Zbtb14
ENSMUSG00000054716,Zfp771
ENSMUSG00000024176,Sox8
ENSMUSG00000039275,Foxk2
ENSMUSG00000038535,Zfp280d
ENSMUSG00000049295,Zfp219
ENSMUSG00000075588,Hoxb2
ENSMUSG00000021848,Otx2
ENSMUSG00000021109,Hif1a
ENSMUSG00000038700,Hoxb5
ENSMUSG00000034227,Foxj1
ENSMUSG00000038615,Nfe2l1
ENSMUSG00000044243,Bhlha9
ENSMUSG00000071256,Zfp213
ENSMUSG00000018750,Zbtb4
ENSMUSG00000002325,Irf9
ENSMUSG00000032318,Isl2
ENSMUSG00000043602,Zfp3
ENSMUSG00000067430,Zfp763
ENSMUSG00000039238,Zfp750
ENSMUSG00000035451,Foxa1
ENSMUSG00000032292,Nr2e3
ENSMUSG00000047342,Zfp286
ENSMUSG00000004040,Stat3
ENSMUSG00000046556,Zfp319
ENSMUSG00000059246,Foxb1
ENSMUSG00000030543,Mesp2
ENSMUSG00000018698,Lhx1
ENSMUSG00000043903,Zfp469
ENSMUSG00000032228,Tcf12
ENSMUSG00000041703,Zic5
ENSMUSG00000031907,Zfp90
ENSMUSG00000058756,Thra
ENSMUSG00000049604,Hoxb13
ENSMUSG00000003847,Nfat5
ENSMUSG00000045757,Zfp764
ENSMUSG00000072294,Klf12
ENSMUSG00000061517,Sox21
ENSMUSG00000031737,Irx5
ENSMUSG00000047371,Zfp768
ENSMUSG00000045639,Zfp629
ENSMUSG00000059552,Trp53
ENSMUSG00000005148,Klf5
ENSMUSG00000012396,Nanog
ENSMUSG00000001510,Dlx3
ENSMUSG00000030551,Nr2f2
ENSMUSG00000034460,Six4
ENSMUSG00000045440,Insm2
ENSMUSG00000038560,Sp6
ENSMUSG00000042812,Foxf1
ENSMUSG00000070345,Hsf5
ENSMUSG00000020875,Hoxb9
ENSMUSG00000038797,Zscan2
ENSMUSG00000006587,Snai3
ENSMUSG00000049739,Zfp646
ENSMUSG00000032238,Rora
ENSMUSG00000000317,Bcl6b
ENSMUSG00000001103,Sebox
ENSMUSG00000048763,Hoxb3
ENSMUSG00000022529,Zfp263
ENSMUSG00000021250,Fos
ENSMUSG00000024420,Zfp521
ENSMUSG00000044676,Zfp612
ENSMUSG00000020950,Foxg1
ENSMUSG00000051184,Zfp524
ENSMUSG00000000942,Hoxa4
ENSMUSG00000054893,Zfp667
ENSMUSG00000055197,Fev
ENSMUSG00000045466,Zfp956
ENSMUSG00000045466,Zfp956
ENSMUSG00000027985,Lef1
ENSMUSG00000027490,E2f1
ENSMUSG00000044296,Zfp879
ENSMUSG00000024497,Pou4f3
ENSMUSG00000073043,Atoh1
ENSMUSG00000032419,Tbx18
ENSMUSG00000038203,Hoxa13
ENSMUSG00000011427,Zfp790
ENSMUSG00000073423,Zfp414
ENSMUSG00000021327,Zkscan3
ENSMUSG00000063047,Zfp780b
ENSMUSG00000100265,Gm28363
ENSMUSG00000026826,Nr4a2
ENSMUSG00000060601,Nr1h2
ENSMUSG00000017667,Zfp334
ENSMUSG00000040610,Tlx3
ENSMUSG00000051149,Adnp
ENSMUSG00000027667,Zfp639
ENSMUSG00000020420,Zfp607a
ENSMUSG00000058900,Rsl1
ENSMUSG00000026305,Lrrfip1
ENSMUSG00000029249,Rest
ENSMUSG00000029546,Uncx
ENSMUSG00000029844,Hoxa1
ENSMUSG00000022738,Gsc2
ENSMUSG00000050240,Hic2
ENSMUSG00000053007,Creb5
ENSMUSG00000034041,Lyl1
ENSMUSG00000063894,Zkscan8
ENSMUSG00000001910,Nacc1
ENSMUSG00000090659,Zfp493
ENSMUSG00000000823,Zfp512b
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000098692,Gm28041
ENSMUSG00000074405,Zfp865
ENSMUSG00000006311,Etv2
ENSMUSG00000112252,Gm32802
ENSMUSG00000036144,Meox2
ENSMUSG00000019900,Rfx6
ENSMUSG00000071291,Zfp58
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000058246,Gm10037
ENSMUSG00000044807,Zfp354c
ENSMUSG00000069171,Nr2f1
ENSMUSG00000058093,Zfp729b
ENSMUSG00000058447,Gm26920
ENSMUSG00000074406,Zfp628
ENSMUSG00000090641,Zfp712
ENSMUSG00000073427,Gm4924
ENSMUSG00000062761,Zfp512
ENSMUSG00000029238,Clock
ENSMUSG00000074622,Mafb
ENSMUSG00000029112,Nkx1-1
ENSMUSG00000068154,Insm1
ENSMUSG00000031618,Nr3c2
ENSMUSG00000041911,Dlx1
ENSMUSG00000019826,Zbtb24
ENSMUSG00000068962,Zfp114
ENSMUSG00000056501,Cebpb
ENSMUSG00000035187,Nkx6-1
ENSMUSG00000060969,Irx1
ENSMUSG00000015579,Nkx2-5
ENSMUSG00000094874,AC132444.3
ENSMUSG00000000782,Tcf7
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000000103,Zfy2
ENSMUSG00000054191,Klf1
ENSMUSG00000053950,Adnp2
ENSMUSG00000035397,Klf16
ENSMUSG00000006705,Pknox1
ENSMUSG00000035877,Zhx3
ENSMUSG00000032372,Plscr2
ENSMUSG00000031860,Pbx4
ENSMUSG00000026017,Carf
ENSMUSG00000024140,Epas1
ENSMUSG00000095092,AC125149.5
ENSMUSG00000031681,Smad1
ENSMUSG00000093668,Pou5f2
ENSMUSG00000099689,Zfp383
ENSMUSG00000060397,Zfp128
ENSMUSG00000022528,Hes1
ENSMUSG00000037335,Hand1
ENSMUSG00000003184,Irf3
ENSMUSG00000048402,Gli2
ENSMUSG00000050368,Hoxd10
ENSMUSG00000034957,Cebpa
ENSMUSG00000001504,Irx2
ENSMUSG00000020167,Tcf3
ENSMUSG00000022463,Srebf2
ENSMUSG00000002250,Ppard
ENSMUSG00000022228,Zscan26
ENSMUSG00000024215,Spdef
ENSMUSG00000035799,Twist1
ENSMUSG00000048562,Sp8
ENSMUSG00000051817,Sox12
ENSMUSG00000022895,Ets2
ENSMUSG00000034673,Pbx2
ENSMUSG00000032368,Zic1
ENSMUSG00000055633,Zfp580
ENSMUSG00000024515,Smad4
ENSMUSG00000039830,Olig2
ENSMUSG00000046518,Ferd3l
ENSMUSG00000026872,Zeb2
ENSMUSG00000025927,Tfap2b
ENSMUSG00000062327,T
ENSMUSG00000051550,Zfp579
ENSMUSG00000036686,Cc2d1a
ENSMUSG00000045252,Zfp574
ENSMUSG00000039967,Zfp292
ENSMUSG00000027109,Sp3
ENSMUSG00000042622,Maff
ENSMUSG00000047861,Foxi1
ENSMUSG00000031706,Rfx1
ENSMUSG00000040841,Six5
ENSMUSG00000002983,Relb
ENSMUSG00000017861,Mybl2
ENSMUSG00000037034,Pax1
ENSMUSG00000057098,Ebf1
ENSMUSG00000101174,Hoxd4
ENSMUSG00000039656,Rxrb
ENSMUSG00000078779,Zfp59
ENSMUSG00000042258,Isl1
ENSMUSG00000055313,Pgbd1
ENSMUSG00000031688,Pou4f2
ENSMUSG00000026380,Tfcp2l1
ENSMUSG00000031621,Isx
ENSMUSG00000021604,Irx4
ENSMUSG00000001156,Mxd1
ENSMUSG00000035946,Gsx2
ENSMUSG00000055799,Tcf7l1
ENSMUSG00000021362,Gcm2
ENSMUSG00000093910,Zfp853
ENSMUSG00000024050,Wiz
ENSMUSG00000030486,Zfp108
ENSMUSG00000008193,Spib
ENSMUSG00000005503,Evx1
ENSMUSG00000059975,Zfp74
ENSMUSG00000074676,Foxs1
ENSMUSG00000030386,Zfp606
ENSMUSG00000042406,Atf4
ENSMUSG00000025997,Ikzf2
ENSMUSG00000057396,Zfp759
ENSMUSG00000068302,Noto
ENSMUSG00000074637,Sox2
ENSMUSG00000022383,Ppara
ENSMUSG00000062175,Tgif2
ENSMUSG00000019789,Hey2
ENSMUSG00000047264,Zfp358
ENSMUSG00000030446,Zfp273
ENSMUSG00000001823,Hoxd12
ENSMUSG00000041995,Zbed3
ENSMUSG00000032369,Plscr1
ENSMUSG00000040891,Foxa3
ENSMUSG00000052837,Junb
ENSMUSG00000048904,Neurog1
ENSMUSG00000024518,Rax
ENSMUSG00000043342,Hoxd9
ENSMUSG00000027104,Atf2
ENSMUSG00000037169,Mycn
ENSMUSG00000042821,Snai1
ENSMUSG00000044647,Csrnp3
ENSMUSG00000018654,Ikzf1
ENSMUSG00000021514,Zfp369
ENSMUSG00000037730,Mynn
ENSMUSG00000019768,Esr1
ENSMUSG00000033016,Nfatc1
ENSMUSG00000095432,Zfp748
ENSMUSG00000074500,Zfp558
ENSMUSG00000074500,Zfp558
ENSMUSG00000052446,Zfp961
ENSMUSG00000052446,Zfp961
ENSMUSG00000052446,Zfp961
ENSMUSG00000030103,Bhlhe40
ENSMUSG00000062861,Zfp28
ENSMUSG00000117495,Gm4125
ENSMUSG00000046160,Olig1
ENSMUSG00000047171,Helt
ENSMUSG00000023994,Nfya
ENSMUSG00000079605,Zbtb9
ENSMUSG00000078302,Foxd1
ENSMUSG00000049764,Zfp280b
ENSMUSG00000112495,Gm9048
ENSMUSG00000048280,Zfp738
ENSMUSG00000048280,Zfp738
ENSMUSG00000048280,Zfp738
ENSMUSG00000048280,Zfp738
ENSMUSG00000023991,Foxp4
ENSMUSG00000027660,Skil
ENSMUSG00000057173,Rfx8
ENSMUSG00000072889,Nfxl1
ENSMUSG00000053747,Sox14
ENSMUSG00000053552,Ebf4
ENSMUSG00000034701,Neurod1
ENSMUSG00000057469,E2f6
ENSMUSG00000043991,Pura
ENSMUSG00000020453,Patz1
ENSMUSG00000041420,Meis3
ENSMUSG00000055480,Zfp458
ENSMUSG00000004328,Hif3a
ENSMUSG00000067071,Hes6
ENSMUSG00000046572,Zfp518b
ENSMUSG00000032446,Eomes
ENSMUSG00000114923,Gm49345
ENSMUSG00000114923,Gm49345
ENSMUSG00000114923,Gm49345
ENSMUSG00000114923,Gm49345
ENSMUSG00000042596,Tfap2d
ENSMUSG00000037279,Ovol2
ENSMUSG00000040433,Zbtb38
ENSMUSG00000037025,Foxa2
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000055150,Zfp78
ENSMUSG00000004151,Etv1
ENSMUSG00000043219,Hoxa6
ENSMUSG00000098022,Zfp82
ENSMUSG00000027544,Nfatc2
ENSMUSG00000066721,Zfp575
ENSMUSG00000037029,Zfp146
ENSMUSG00000059842,Zfp341
ENSMUSG00000052056,Zfp217
ENSMUSG00000029127,Zbtb49
ENSMUSG00000024406,Pou5f1
ENSMUSG00000062939,Stat4
ENSMUSG00000100642,Gm28230
ENSMUSG00000035033,Tbr1
ENSMUSG00000053477,Tcf4
ENSMUSG00000063632,Sox11
ENSMUSG00000004842,Pou1f1
ENSMUSG00000040726,Hesx1
ENSMUSG00000072675,Duxbl2
ENSMUSG00000023333,Gcm1
ENSMUSG00000029178,Klf3
ENSMUSG00000058881,Zfp516
ENSMUSG00000051034,Zfp11
ENSMUSG00000046541,Zfp526
ENSMUSG00000024565,Sall3
ENSMUSG00000061898,Rbak
ENSMUSG00000047907,Tshz2
ENSMUSG00000007805,Twist2
ENSMUSG00000055305,Zfp93
ENSMUSG00000058239,Usf2
ENSMUSG00000020653,Klf11
ENSMUSG00000038193,Hand2
ENSMUSG00000040270,Bach2
ENSMUSG00000022811,Zfp148
ENSMUSG00000022601,Zbtb11
ENSMUSG00000037621,Atoh8
ENSMUSG00000036036,Zfp57
ENSMUSG00000071076,Jund
ENSMUSG00000079033,Mef2b
ENSMUSG00000032411,Tfdp2
ENSMUSG00000026104,Stat1
ENSMUSG00000039191,Rbpj
ENSMUSG00000015461,Atf6b
ENSMUSG00000020160,Meis1
ENSMUSG00000055053,Nfic
ENSMUSG00000005442,Cic
ENSMUSG00000015501,Hivep2
ENSMUSG00000041258,Zfp236
ENSMUSG00000038539,Atf5
ENSMUSG00000038236,Hoxa7
ENSMUSG00000094504,Gm5294
ENSMUSG00000048481,Mypop
ENSMUSG00000034486,Gbx2
ENSMUSG00000079277,Hoxd3
ENSMUSG00000019803,Nr2e1
ENSMUSG00000061911,Myt1l
ENSMUSG00000019256,Ahr
ENSMUSG00000057842,Zfp595
ENSMUSG00000057842,Zfp595
ENSMUSG00000057842,Zfp595
ENSMUSG00000057842,Zfp595
ENSMUSG00000112419,Gm9044
ENSMUSG00000045680,Tcf21
ENSMUSG00000100512,Ovol3
ENSMUSG00000033006,Sox10
ENSMUSG00000001988,Npas1
ENSMUSG00000017817,Jph2
ENSMUSG00000032515,Csrnp1
ENSMUSG00000038210,Hoxa11
ENSMUSG00000044876,Zfp444
ENSMUSG00000095139,Pou3f2
ENSMUSG00000008976,Gabpa
ENSMUSG00000023391,Dlx2
ENSMUSG00000030796,Tead2
ENSMUSG00000037984,Neurod6
ENSMUSG00000059824,Dbp
ENSMUSG00000002249,Tead3
ENSMUSG00000000861,Bcl11a
ENSMUSG00000041578,Crx
ENSMUSG00000038151,Prdm1
ENSMUSG00000049823,Zbtb12
ENSMUSG00000095672,AC133103.5
ENSMUSG00000075327,Zbtb2
ENSMUSG00000048387,Osr1
ENSMUSG00000051176,Zfp42
ENSMUSG00000075304,Sp5
ENSMUSG00000058883,Zfp708
ENSMUSG00000074194,Zfp791
ENSMUSG00000117819,Gm50253
ENSMUSG00000038331,Satb2
ENSMUSG00000055341,Zfp457
ENSMUSG00000055341,Zfp457
ENSMUSG00000055341,Zfp457
ENSMUSG00000055341,Zfp457
ENSMUSG00000048012,Zfp473
ENSMUSG00000039153,Runx2
ENSMUSG00000002265,Peg3
ENSMUSG00000021359,Tfap2a
ENSMUSG00000028640,Tfap2c
ENSMUSG00000046962,Zbtb21
ENSMUSG00000019878,Hsf2
ENSMUSG00000094915,AC168977.2
ENSMUSG00000047603,Zfp235
ENSMUSG00000024619,Cdx1
ENSMUSG00000034071,Zfp551
ENSMUSG00000012520,Phox2b
ENSMUSG00000027582,Zgpat
ENSMUSG00000068859,Sp9
ENSMUSG00000021356,Irf4
ENSMUSG00000009734,Pou6f2
ENSMUSG00000015839,Nfe2l2
ENSMUSG00000019913,Sim1
ENSMUSG00000070822,Zscan18
ENSMUSG00000029913,Prdm5
ENSMUSG00000049321,Zfp2
ENSMUSG00000055148,Klf2
ENSMUSG00000030604,Zfp626
ENSMUSG00000046351,Zfp322a
ENSMUSG00000004500,Zfp324
ENSMUSG00000004500,Zfp324
ENSMUSG00000016477,E2f3
ENSMUSG00000013089,Etv5
ENSMUSG00000021485,Mxd3
ENSMUSG00000015053,Gata2
