early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
CMPK2	139	7	20	17	23	18	109	13
RSAD2	35	4	3	11	24	21	36	2
RNF144A	1114	175	280	676	408	861	757	271
ID2	14177	820	4294	2267	1658	2555	18776	928
KIDINS220	3908	217	1287	874	705	1244	2738	315
MBOAT2	2669	242	811	837	700	1386	1672	392
ASAP2	2661	222	634	812	703	1465	1401	410
ITGB1BP1	5431	128	1687	763	554	846	4393	234
CPSF3	6145	162	1876	621	418	978	4276	263
IAH1	747	229	1288	623	559	1135	5691	173
ADAM17	4288	184	1521	802	617	1149	3139	305
YWHAQ	30061	1113	8279	4221	3289	6409	18165	1878
TAF1B	2549	162	968	519	435	936	2486	282
GRHL1	74	12	72	44	27	46	75	12
KLF11	748	21	163	106	91	129	756	35
CYS1	13	4	10	9	6	4	6	1
RRM2	7542	263	1821	1000	686	1748	4516	530
HPCAL1	752	77	236	192	219	365	655	105
ODC1	44695	1116	7827	3840	3079	6136	30059	1555
NOL10	3074	162	994	712	456	905	2217	239
ATP6V1C2	355	35	329	137	125	79	234	23
PDIA6	36653	1204	14447	4720	2333	5327	34547	1626
KCNF1	56	0	19	8	6	3	116	4
C2orf50	42	9	7	16	32	34	59	8
SLC66A3	274	26	183	41	21	29	299	11
ROCK2	4728	363	1494	1420	1041	2148	3408	513
E2F6	1370	57	432	268	169	376	948	81
GREB1	1285	270	582	1443	431	772	862	304
NTSR2	0	0	0	1	0	0	0	0
LPIN1	1610	86	478	326	235	437	1337	102
TRIB2	1780	46	799	161	123	496	1105	109
LRATD1	786	49	130	139	135	146	1584	50
NBAS	2992	409	817	1496	1095	2122	2336	545
DDX1	8274	226	2504	1013	634	1493	6251	345
MYCN	4664	85	1005	173	175	813	2232	229
FAM49A	176	17	38	39	32	87	173	30
RAD51AP2	19	1	8	0	1	7	7	2
VSNL1	706	11	997	45	23	135	672	31
SMC6	4880	210	1817	848	534	1309	3514	335
GEN1	1261	111	357	386	210	634	717	174
MSGN1	20	0	8	1	0	1	28	0
KCNS3	288	6	132	17	28	59	176	24
RDH14	3461	80	1155	373	245	459	2638	167
NT5C1B	1	0	0	0	0	1	2	0
OSR1	7	0	3	1	0	0	11	0
TTC32	1194	54	422	190	140	325	1050	124
WDR35	945	169	208	576	475	993	442	252
MATN3	239	2	34	34	7	44	203	7
LAPTM4A	21269	542	11171	2490	1228	3022	17004	793
SDC1	2497	42	633	121	63	232	1394	54
PUM2	2961	570	854	2237	1771	3572	1964	959
RHOB	3777	98	948	411	362	404	3927	156
HS1BP3	1010	40	448	166	81	127	1035	41
GDF7	266	25	59	266	94	31	1901	17
LDAH	2573	261	763	968	632	1095	1869	298
APOB	57	8	26	37	37	33	105	8
TDRD15	2	0	1	2	2	0	7	2
KLHL29	203	104	55	450	438	311	201	126
ATAD2B	1980	266	579	980	839	1375	1382	379
UBXN2A	3864	248	882	783	789	1467	2638	370
MFSD2B	67	9	33	19	19	51	45	11
WDCP	1167	38	281	141	102	270	787	56
FKBP1B	2386	92	1376	271	282	559	3054	171
SF3B6	23262	689	8302	2683	1856	3516	18616	934
FAM228B	949	96	296	367	375	614	981	124
TP53I3	5180	137	1815	435	413	763	3722	199
PFN4	76	6	21	19	21	30	65	7
FAM228A	5	3	9	15	24	26	15	6
ITSN2	532	66	420	280	213	304	747	63
NCOA1	1464	364	702	1440	1443	2293	1002	561
PTRHD1	9143	208	2865	567	489	1236	6739	336
CENPO	1410	79	369	269	215	545	743	159
ADCY3	612	58	188	212	184	390	325	111
DNAJC27	594	55	159	173	157	265	414	67
EFR3B	2241	181	536	585	718	1240	1043	303
POMC	1661	27	293	64	109	129	347	52
DNMT3A	3830	150	1569	466	443	842	3139	212
DTNB	1126	307	443	1032	802	1231	850	393
ASXL2	890	104	426	387	203	386	740	147
KIF3C	893	36	222	154	137	266	687	68
RAB10	6351	390	2516	1521	1022	2309	5152	674
GAREM2	1190	38	316	75	139	317	482	58
HADHA	10477	438	3065	1415	915	2277	8130	645
HADHB	6522	239	1714	713	489	1228	4280	378
ADGRF3	16	9	3	39	39	62	6	18
SELENOI	1245	156	613	604	374	801	923	220
DRC1	190	59	15	160	158	85	548	25
OTOF	11	0	5	3	3	2	24	1
FAM166C	0	0	0	0	1	0	0	0
CIB4	1	0	0	0	0	0	5	0
KCNK3	5	1	4	0	1	3	0	0
SLC35F6	1074	28	419	119	62	143	852	28
CENPA	4707	163	1373	533	292	805	3039	261
DPYSL5	4456	222	850	1184	836	1540	2292	425
MAPRE3	743	29	268	156	127	159	683	49
TMEM214	914	14	373	84	56	100	840	23
AGBL5	1990	83	667	333	242	447	1582	112
OST4	25307	729	9651	3366	2182	3785	21668	993
EMILIN1	260	2	84	17	9	21	297	2
KHK	1086	23	388	113	65	140	661	28
CGREF1	385	5	53	22	26	34	258	19
ABHD1	70	1	30	6	8	15	48	2
PREB	1544	41	638	134	86	213	1340	72
PRR30	0	0	0	0	0	0	0	0
TCF23	1	0	1	0	1	1	0	1
SLC5A6	2837	38	780	212	99	209	2503	73
ATRAID	11346	394	4405	1361	859	1746	12313	490
CAD	2726	56	623	187	131	282	1839	69
SLC30A3	32	0	14	0	2	1	8	0
DNAJC5G	0	0	1	2	0	1	0	0
TRIM54	19	1	18	1	1	1	13	0
UCN	73	1	26	6	9	9	47	2
MPV17	6300	168	1945	726	444	886	4908	279
GTF3C2	2365	110	783	388	256	523	1841	168
EIF2B4	2348	61	903	229	167	311	1794	89
SNX17	5081	121	1987	496	297	623	4245	178
ZNF513	641	9	231	46	25	99	554	14
PPM1G	21886	487	7505	2111	1489	3019	14891	864
NRBP1	6682	194	2644	741	440	812	6085	249
KRTCAP3	567	14	430	34	13	57	940	10
IFT172	647	74	172	187	191	274	478	79
FNDC4	1612	47	608	243	214	317	2004	76
GCKR	1	3	3	2	1	3	8	0
C2orf16	5	1	1	7	2	3	2	1
ZNF512	2318	151	735	506	373	695	1706	164
CCDC121	518	21	93	53	34	71	329	21
GPN1	3948	95	1141	352	260	556	3162	149
SUPT7L	1737	69	677	296	189	358	1604	94
SLC4A1AP	2317	98	900	369	220	447	1990	136
MRPL33	10446	286	3366	1264	797	1588	7820	434
RBKS	791	29	173	143	106	165	590	56
BABAM2	2758	309	1015	1217	860	1484	2292	485
FOSL2	284	17	61	109	93	124	340	7
PLB1	6	2	3	17	4	7	15	1
PPP1CB	11151	434	4353	1757	1144	2481	8317	630
SPDYA	52	29	16	82	80	106	53	67
TRMT61B	2099	97	599	365	292	580	1007	168
WDR43	4939	234	1921	867	509	1115	3564	332
TOGARAM2	11	2	5	21	3	12	20	3
PCARE	3	4	2	4	4	0	2	0
CLIP4	270	28	48	125	107	199	156	67
ALK	7	13	4	40	25	14	14	34
YPEL5	2373	104	1424	599	396	672	2216	193
LBH	1069	29	430	108	96	299	504	73
LCLAT1	1290	174	322	709	465	984	827	267
CAPN13	5	0	10	3	1	2	12	0
GALNT14	83	7	30	29	24	33	56	19
CAPN14	3	0	2	7	10	5	5	2
EHD3	267	9	147	45	38	59	226	11
XDH	97	50	47	128	104	64	51	23
SRD5A2	1	0	1	0	0	1	0	1
MEMO1	956	16	315	59	48	109	607	25
DPY30	12927	450	4471	1445	911	1975	10918	556
SPAST	2168	169	741	570	435	900	1538	230
SLC30A6	910	100	381	476	280	554	676	145
NLRC4	1	7	0	17	11	15	2	8
YIPF4	4319	188	1539	624	444	842	3057	212
BIRC6	3193	469	1252	2057	1461	2650	2204	765
TTC27	1209	74	353	230	207	433	879	121
LTBP1	2123	307	1094	845	387	1071	1066	356
RASGRP3	21	5	20	12	3	10	15	8
FAM98A	2542	77	1090	330	216	563	1933	149
CRIM1	559	95	210	504	427	774	478	173
FEZ2	4549	199	1539	857	718	1095	3913	307
VIT	15	26	10	75	22	8	43	8
STRN	1838	133	650	507	341	621	1437	185
HEATR5B	360	74	152	271	216	404	363	102
GPATCH11	1712	67	508	221	165	328	1253	70
EIF2AK2	5576	210	1679	833	436	1245	3915	308
SULT6B1	0	1	0	1	2	2	0	5
CEBPZOS	2359	162	1621	667	476	1026	1635	136
CEBPZ	8281	188	2965	850	523	1307	5157	331
NDUFAF7	1587	77	682	265	148	374	1246	108
PRKD3	2682	171	749	656	562	1231	1727	284
QPCT	1140	11	400	103	52	126	38	25
CDC42EP3	1031	34	632	176	104	240	802	91
RMDN2	206	29	62	74	63	159	169	25
CYP1B1	409	4	819	18	16	30	375	3
ATL2	1978	151	695	562	370	812	1588	237
HNRNPLL	3028	188	1010	897	593	1106	2171	340
GALM	1136	73	604	249	199	375	1015	153
SRSF7	45496	929	9699	3850	2536	6324	30852	1942
GEMIN6	3108	56	978	252	187	428	2150	121
DHX57	2025	132	588	524	439	731	1364	202
MORN2	6164	156	1237	851	658	1044	5007	264
ARHGEF33	58	6	30	24	23	18	91	10
SOS1	2129	388	632	1480	1114	2214	1446	684
CDKL4	4	6	1	13	13	12	1	11
MAP4K3	1263	316	543	1082	812	1422	977	423
TMEM178A	1164	43	244	176	190	380	678	87
THUMPD2	2415	160	661	508	382	762	1795	220
SLC8A1	393	100	112	534	478	1006	276	238
C2orf91	3	0	4	3	3	1	10	1
PKDCC	1203	15	1316	99	64	132	1686	25
EML4	3025	320	1571	1244	1028	2068	2359	478
COX7A2L	17386	703	6767	2080	1513	2858	17219	876
KCNG3	61	4	59	28	17	42	74	6
MTA3	4759	274	2719	1178	676	1244	4359	379
OXER1	28	2	11	5	1	8	27	1
HAAO	58	15	54	62	76	94	59	19
ZFP36L2	7213	138	3554	722	612	1040	8420	303
THADA	1433	159	354	641	506	1036	920	302
PLEKHH2	288	18	109	101	58	170	215	38
C1GALT1C1L	6	0	19	10	1	7	4	3
DYNC2LI1	2554	160	745	466	428	716	2023	200
ABCG5	3	0	0	4	9	4	1	2
ABCG8	45	0	6	7	1	2	27	2
LRPPRC	5845	308	2389	1097	684	1481	4742	431
PPM1B	1899	148	992	601	468	1059	1473	269
SLC3A1	32	9	7	45	47	79	29	29
PREPL	2369	178	871	581	359	774	1863	175
CAMKMT	1191	377	721	1456	1025	2113	983	590
SIX3	5966	146	7451	423	231	872	1516	195
SIX2	10	0	3	0	0	8	7	1
SRBD1	2158	225	662	676	517	970	1460	284
PRKCE	114	107	27	308	187	352	105	118
EPAS1	19	3	11	11	16	9	22	7
TMEM247	0	0	0	0	0	0	0	0
ATP6V1E2	349	15	202	60	50	130	274	23
RHOQ	1532	92	703	391	257	531	1393	134
PIGF	4744	258	1772	813	527	996	3995	257
CRIPT	4342	146	1729	576	395	832	3570	189
SOCS5	806	20	283	119	65	196	550	29
MCFD2	4540	180	1895	718	485	968	4193	213
TTC7A	224	61	115	224	132	198	217	58
STPG4	0	8	1	32	31	41	0	32
CALM2	80300	2882	28909	11700	7978	14063	70102	4028
EPCAM	2460	35	3255	139	99	169	3382	45
MSH2	6537	336	2051	1293	904	2084	5071	499
KCNK12	182	7	301	64	42	66	203	15
MSH6	12395	334	3740	1509	967	2434	8515	583
FBXO11	4128	516	1173	2036	1616	2813	2881	911
FOXN2	625	86	292	428	241	498	557	124
PPP1R21	679	61	288	360	246	438	685	91
STON1	884	33	371	117	124	180	744	36
STON1-GTF2A1L	8	3	5	29	68	75	10	11
GTF2A1L	0	0	2	0	0	0	2	0
LHCGR	8	0	10	7	44	30	10	1
FSHR	2	0	0	1	16	5	1	0
NRXN1	1165	76	506	235	933	2964	585	383
ASB3	3285	295	992	975	893	1491	2500	403
CHAC2	1705	37	332	148	108	237	1130	65
ERLEC1	3445	146	1476	582	372	714	3332	188
GPR75	17	2	1	2	0	5	11	5
PSME4	2111	224	709	815	513	1153	1398	335
ACYP2	1246	320	445	921	706	1169	1161	308
TSPYL6	1	0	0	0	1	0	0	0
C2orf73	17	6	5	9	12	13	36	2
SPTBN1	3379	172	1666	537	343	658	3155	189
EML6	34	6	26	29	55	92	17	13
RTN4	28535	809	9512	3314	3196	6829	19082	1822
CLHC1	964	103	274	392	351	603	630	134
RPS27A	338252	9452	118537	36446	25214	50902	278518	13955
MTIF2	2496	93	979	353	197	498	1870	126
CCDC88A	11403	526	3031	1756	1306	2951	7721	756
CFAP36	7406	275	1943	1044	822	1635	5781	395
PPP4R3B	3756	177	1078	815	635	1311	2613	308
PNPT1	3710	146	1137	508	300	749	2430	210
EFEMP1	534	33	559	120	26	68	502	12
CCDC85A	44	10	21	51	95	137	21	32
VRK2	865	74	319	330	244	434	699	118
FANCL	4267	249	1340	776	486	1278	2936	382
BCL11A	3561	76	217	125	430	1136	1652	255
PAPOLG	1037	82	373	251	207	459	777	126
REL	1555	42	452	180	163	233	1077	61
PUS10	666	42	160	115	57	121	368	35
PEX13	2057	125	797	467	316	652	1801	162
KIAA1841	2012	184	662	715	584	1074	1341	218
C2orf74	1864	69	634	317	219	206	1014	122
USP34	4930	483	1850	2136	1525	2728	3773	721
XPO1	12208	648	3967	2659	1579	3968	8557	995
FAM161A	5911	151	1418	474	366	579	2224	276
CCT4	25872	709	9221	2813	1696	4269	20854	1121
COMMD1	4691	256	1626	1323	837	1501	3912	374
B3GNT2	658	22	414	117	72	147	590	46
TMEM17	444	16	129	51	59	107	275	16
EHBP1	3178	614	946	2166	1624	3002	2529	861
OTX1	2940	246	557	626	308	690	3428	199
WDPCP	951	492	213	1622	1393	2678	785	736
MDH1	19626	506	6693	1921	1218	2794	15468	847
UGP2	7640	229	3877	693	466	969	8545	255
VPS54	952	232	302	947	612	1001	623	275
PELI1	1340	112	440	418	347	667	970	224
LGALSL	2248	74	812	277	178	337	2202	111
AFTPH	1345	91	515	368	267	499	971	160
SERTAD2	1113	57	453	209	185	330	830	135
SLC1A4	420	22	86	127	117	230	334	39
CEP68	1753	120	645	361	313	695	1145	155
RAB1A	7462	315	3117	1269	821	1550	7155	454
ACTR2	9650	409	3710	1637	984	2355	7759	610
SPRED2	956	116	267	496	272	717	647	241
MEIS1	595	63	566	272	139	481	169	82
ETAA1	1246	61	447	202	116	334	911	112
C1D	4458	175	1897	664	432	837	3727	249
WDR92	1086	83	511	281	174	367	891	112
PNO1	2928	85	1217	342	174	421	2666	113
PPP3R1	1368	205	446	881	543	1035	1110	378
CNRIP1	307	7	73	46	85	199	257	20
PLEK	3	0	0	1	0	0	4	0
FBXO48	235	9	108	42	30	52	146	16
APLF	322	60	152	311	201	380	190	86
PROKR1	26	0	2	0	0	1	8	0
ARHGAP25	125	33	19	165	116	116	42	17
BMP10	0	0	0	0	0	0	4	0
GKN2	0	0	0	0	0	0	0	0
GKN1	7	0	3	0	0	0	7	0
ANTXR1	2085	320	442	930	915	1775	1390	463
GFPT1	2315	180	1150	734	452	841	2384	241
NFU1	4645	185	1695	518	483	811	4042	254
AAK1	2598	134	767	553	533	741	1821	204
ANXA4	409	38	247	93	85	133	479	41
GMCL1	3133	165	1137	495	310	732	2326	207
SNRNP27	3457	117	1312	437	338	693	2883	188
MXD1	228	29	116	144	111	276	230	55
ASPRV1	43	1	14	2	3	4	36	0
PCBP1	24511	566	8940	2037	1219	3143	18768	909
C2orf42	320	29	112	110	102	168	244	51
TIA1	5415	178	2138	619	414	1190	3847	343
PCYOX1	3195	102	1310	424	304	553	2841	139
SNRPG	28464	709	8871	3203	1925	4339	19696	1283
FAM136A	9812	245	4211	1022	673	1418	7704	348
TGFA	7	0	5	1	3	1	2	2
ADD2	2059	79	712	291	269	604	1735	146
FIGLA	0	0	0	0	0	0	0	0
CLEC4F	0	0	4	0	0	0	0	0
CD207	0	0	0	0	0	0	0	0
VAX2	29	1	136	29	4	15	8	2
ATP6V1B1	7	0	6	1	0	0	2	1
ANKRD53	17	2	22	11	8	9	18	7
TEX261	860	17	292	82	55	114	631	32
NAGK	1340	53	576	277	155	326	1263	84
MCEE	585	48	223	141	106	170	599	34
MPHOSPH10	5976	150	1782	659	448	971	4695	294
PAIP2B	647	35	350	107	102	319	531	58
ZNF638	10129	719	3126	2569	1894	3770	7022	1023
DYSF	28	2	18	3	3	11	35	1
CYP26B1	24	1	10	2	1	8	46	1
EXOC6B	1032	593	356	2562	2103	3660	793	1046
SPR	96	0	86	11	17	59	64	8
EMX1	2662	38	135	92	326	1128	331	263
SFXN5	1435	81	277	259	202	430	735	114
RAB11FIP5	196	7	49	48	23	63	177	17
NOTO	0	0	0	0	1	0	0	0
SMYD5	855	23	301	70	59	140	668	22
PRADC1	1125	51	489	189	142	158	1137	42
CCT7	23358	599	7991	1998	1245	2992	17967	962
FBXO41	148	5	74	32	21	25	85	14
EGR4	58	0	11	16	1	1	19	0
ALMS1	2413	289	609	1106	773	1511	1664	436
NAT8	0	0	0	1	0	0	0	0
TPRKB	11551	288	3397	1164	860	1881	8601	523
DUSP11	2202	64	780	267	218	427	1911	87
C2orf78	0	0	2	0	0	0	1	0
STAMBP	2765	106	1177	438	292	641	2328	148
ACTG2	18	1	15	4	6	2	48	1
DGUOK	13965	510	4959	1887	1188	2436	11381	651
TET3	528	104	136	358	326	655	461	163
BOLA3	7548	188	2732	752	435	982	5911	265
MOB1A	6719	235	2586	980	590	1392	4713	341
MTHFD2	3096	188	1526	696	240	765	2555	228
SLC4A5	92	95	37	343	237	143	209	39
DCTN1	3806	128	1409	471	374	822	3154	188
C2orf81	333	48	69	164	157	342	218	47
WDR54	10880	331	3122	1007	858	1764	9920	526
RTKN	960	29	513	134	118	174	1067	46
INO80B	84	22	39	75	70	141	74	38
WBP1	83	169	48	656	477	804	107	211
MOGS	1749	76	562	273	208	309	1454	84
MRPL53	282	2	100	13	6	17	234	5
CCDC142	593	16	208	38	38	75	393	30
TTC31	1261	35	358	120	102	206	909	52
LBX2	28	1	9	6	1	6	53	0
PCGF1	544	19	176	76	39	108	530	26
TLX2	25	2	7	17	7	11	39	6
DQX1	17	3	11	1	1	1	15	0
AUP1	6186	128	1988	504	330	666	5129	192
HTRA2	1991	58	712	195	131	279	1566	95
LOXL3	962	36	295	192	165	302	825	71
DOK1	891	15	299	82	63	164	693	32
M1AP	28	6	36	16	7	14	44	4
SEMA4F	277	8	84	36	42	51	279	24
HK2	949	34	455	170	80	215	1882	77
POLE4	6419	171	1638	708	428	808	4965	217
TACR1	5	21	1	66	36	60	3	14
EVA1A	160	15	66	26	26	73	178	17
MRPL19	7448	251	2728	949	656	1497	5705	394
GCFC2	1868	154	512	524	325	749	1777	183
LRRTM4	435	799	270	3479	3602	4627	462	1048
REG3G	0	0	0	0	0	0	0	0
REG1B	0	0	0	0	0	0	0	0
REG1A	127	0	2	0	1	0	21	0
REG3A	0	0	0	0	0	0	0	0
CTNNA2	838	1683	396	7124	3672	5630	805	1766
LRRTM1	41	8	20	23	8	16	104	2
SUCLG1	6400	188	2407	795	484	1016	5121	268
DNAH6	203	101	31	359	287	536	213	151
TRABD2A	139	7	28	26	16	29	77	17
TMSB10	137347	3514	40519	13123	10064	19229	101730	5632
KCMF1	4790	270	2035	1218	675	1273	4242	383
TCF7L1	4143	269	1898	1415	885	2065	2588	503
TGOLN2	3575	86	1300	419	261	585	2960	147
RETSAT	281	10	103	51	24	46	290	16
ELMOD3	1067	57	275	192	153	270	683	80
CAPG	982	11	502	69	111	162	1094	20
SH2D6	17	0	5	2	5	4	23	0
MAT2A	6282	188	2054	670	474	1267	4073	281
GGCX	2321	54	901	248	189	345	2200	109
VAMP8	1272	56	412	170	110	146	3429	68
VAMP5	649	79	278	233	155	63	958	43
RNF181	8223	249	3143	964	714	1402	8540	402
TMEM150A	1001	27	573	135	82	134	1333	29
USP39	3652	139	1171	501	338	736	2810	191
C2orf68	2817	80	896	266	208	398	2523	107
SFTPB	1	1	0	1	1	1	1	2
GNLY	1	1	2	2	1	1	4	0
ATOH8	207	4	33	31	10	25	215	11
ST3GAL5	661	30	177	117	107	168	580	54
POLR1A	1038	49	296	252	149	362	796	84
PTCD3	5774	163	1855	590	471	970	3854	263
IMMT	8610	279	2365	939	606	1169	6664	391
MRPL35	3038	93	955	306	212	485	2785	111
REEP1	219	7	48	38	55	104	153	23
KDM3A	1883	133	616	727	597	1009	1962	186
CHMP3	3801	185	1041	687	521	1106	2461	282
RNF103	584	27	222	127	122	197	433	50
RMND5A	2223	88	991	318	259	594	1668	155
CD8A	19	1	1	7	1	9	23	2
CD8B	7	0	5	3	1	2	6	0
RGPD1	2	2	0	10	5	12	1	2
PLGLB1	3	4	2	14	4	17	2	1
IGKV3OR2-268	0	0	0	0	0	0	0	0
PLGLB2	3	3	0	17	23	21	0	5
RGPD2	0	2	0	77	0	2	0	8
KRCC1	2812	104	1071	442	312	571	2384	147
SMYD1	1	0	0	0	0	0	1	0
FABP1	46	6	9	19	13	37	48	12
THNSL2	909	17	434	155	111	134	1177	46
FOXI3	93	1	66	4	2	6	104	2
TEX37	2	0	4	0	0	0	2	0
EIF2AK3	337	47	173	182	141	288	254	81
RPIA	2831	76	1034	367	204	399	2138	133
IGKC	0	0	43	0	0	0	5	0
IGKJ5	0	0	0	0	0	0	0	0
IGKJ4	0	0	0	0	0	0	0	0
IGKJ3	0	0	0	0	0	0	0	0
IGKJ2	0	0	0	0	0	0	0	0
IGKJ1	0	0	0	0	0	0	0	0
IGKV4-1	0	0	1	0	0	0	0	0
IGKV5-2	0	0	0	0	0	0	0	0
IGKV7-3	0	0	0	0	0	0	0	0
IGKV2-4	0	0	0	0	0	0	0	0
IGKV1-5	0	0	0	0	0	0	0	0
IGKV1-6	0	0	0	0	0	0	0	0
IGKV3-7	0	0	0	0	0	0	0	0
IGKV1-8	0	0	0	0	0	0	0	0
IGKV1-9	0	0	0	0	0	0	0	0
IGKV2-10	0	0	0	0	0	0	0	0
IGKV3-11	0	0	0	0	0	0	0	0
IGKV1-12	0	0	0	0	0	0	0	0
IGKV1-13	0	0	0	0	0	0	0	0
IGKV2-14	0	0	0	0	0	0	0	0
IGKV3-15	0	0	0	0	0	0	0	0
IGKV1-16	0	0	0	0	0	0	0	0
IGKV1-17	0	0	0	0	0	0	0	0
IGKV2-18	0	0	0	0	0	0	0	0
IGKV2-19	0	0	0	0	0	0	0	0
IGKV3-20	0	0	0	0	0	0	0	0
IGKV6-21	0	0	0	0	0	0	0	0
IGKV1-22	0	0	0	0	0	0	0	0
IGKV2-23	0	0	0	0	0	0	0	0
IGKV2-24	0	0	0	0	0	0	0	0
IGKV3-25	0	0	0	0	0	0	0	0
IGKV2-26	0	0	0	0	0	0	0	0
IGKV1-27	0	0	0	0	0	0	0	0
IGKV2-28	0	0	0	0	0	0	0	0
IGKV2-29	0	0	0	0	0	0	0	0
IGKV2-30	0	0	0	0	0	0	0	0
IGKV3-31	0	0	0	0	0	0	0	0
IGKV1-32	0	0	0	0	0	0	0	0
IGKV1-33	0	0	0	0	0	0	0	0
IGKV3-34	0	0	0	0	0	0	0	0
IGKV1-35	0	0	0	0	0	0	0	0
IGKV2-36	0	0	0	0	0	0	0	0
IGKV1-37	0	0	0	0	0	0	0	0
IGKV2-38	0	0	0	0	0	0	0	0
IGKV1-39	0	0	0	0	0	0	0	0
IGKV2-40	0	0	0	0	0	0	0	0
IGKV2D-40	0	0	0	0	0	0	0	0
IGKV1D-39	0	0	0	0	0	0	0	0
IGKV2D-38	0	0	0	0	0	0	0	0
IGKV1D-37	0	0	0	0	0	0	0	0
IGKV2D-36	0	0	0	0	0	0	0	0
IGKV1D-35	0	0	0	0	0	0	0	0
IGKV3D-34	0	0	0	0	0	0	0	0
IGKV1D-33	0	0	0	0	0	0	0	0
IGKV1D-32	0	0	0	0	0	0	0	0
IGKV3D-31	0	0	0	0	0	0	0	0
IGKV2D-30	0	0	0	0	0	0	0	0
IGKV2D-29	0	0	0	0	0	0	0	0
IGKV2D-28	0	0	0	0	0	0	0	0
IGKV1D-27	0	0	0	0	0	0	0	0
IGKV2D-26	0	0	0	0	0	0	0	0
IGKV3D-25	0	0	0	0	0	0	0	0
IGKV2D-24	0	0	0	0	0	0	0	0
IGKV2D-23	0	0	0	0	0	0	0	0
IGKV1D-22	0	0	0	0	0	0	0	0
IGKV6D-21	0	0	0	0	0	0	0	0
IGKV3D-20	0	0	0	0	0	0	0	0
IGKV2D-19	0	0	0	0	0	0	0	0
IGKV2D-18	0	0	0	0	0	0	0	0
IGKV6D-41	0	0	0	0	0	0	0	0
IGKV1D-17	0	0	0	0	0	0	0	0
IGKV1D-16	0	0	0	0	0	0	0	0
IGKV3D-15	0	0	0	0	0	0	0	0
IGKV2D-14	0	0	0	0	0	0	0	0
IGKV1D-13	0	0	0	0	0	0	0	0
IGKV1D-12	0	0	0	0	0	0	0	0
IGKV3D-11	0	0	0	0	0	0	0	0
IGKV2D-10	0	0	0	0	0	0	0	0
IGKV1D-42	0	0	0	0	0	0	1	0
IGKV1D-43	0	0	0	0	0	0	0	0
IGKV1D-8	0	0	0	1	0	0	0	0
IGKV3D-7	0	0	0	0	0	0	0	0
IGKV1OR2-118	0	0	0	0	0	0	0	0
IGKV1OR2-1	0	0	0	0	0	0	0	0
AL845331.2	0	0	0	0	1	1	0	0
TEKT4	7	0	2	1	0	0	8	0
MAL	29	3	14	6	4	2	99	1
MRPS5	6992	234	2270	789	434	1044	5534	322
ZNF514	840	36	377	140	92	195	835	47
ZNF2	290	12	83	66	53	85	277	22
AC092835.1	352	83	139	276	200	473	244	115
PROM2	52	2	28	2	2	14	58	2
KCNIP3	80	5	12	24	22	35	57	12
FAHD2A	1145	79	444	223	154	387	982	133
TRIM43B	0	0	0	0	0	0	0	0
TRIM43	0	0	0	0	0	0	0	0
ANKRD36C	1320	122	310	288	282	547	862	157
GPAT2	7	0	19	1	0	1	50	0
ADRA2B	26	0	16	3	0	3	21	1
ASTL	0	0	0	0	0	0	0	0
DUSP2	206	1	86	26	10	18	260	4
STARD7	5650	146	1845	542	362	924	4087	245
TMEM127	626	22	255	92	53	130	548	25
CIAO1	5432	178	1996	745	381	950	4248	256
SNRNP200	9005	289	2914	918	730	1524	6272	377
ITPRIPL1	599	17	129	43	17	83	423	28
NCAPH	3372	106	896	359	249	638	1867	224
NEURL3	2	1	2	0	0	1	14	0
ARID5A	350	10	140	52	23	29	379	13
KANSL3	1166	67	322	298	239	477	740	111
FER1L5	73	21	29	64	39	84	60	24
LMAN2L	1425	78	518	262	155	303	1336	85
CNNM4	295	35	168	106	57	104	233	43
CNNM3	1043	30	333	106	78	191	706	46
ANKRD23	38	23	8	120	95	180	23	46
ANKRD39	1427	51	563	158	113	199	1207	56
SEMA4C	1439	23	474	68	48	153	1064	36
FAM178B	32	9	11	18	24	15	90	6
IGKV2OR2-1	0	0	0	0	0	0	0	0
IGKV2OR2-2	0	0	0	0	0	0	0	0
IGKV1OR2-3	0	0	0	0	0	0	0	0
FAHD2B	1120	57	439	139	100	176	947	54
ANKRD36	679	109	246	361	306	644	597	126
IGKV1OR2-9	0	0	0	0	0	0	0	0
IGKV2OR2-10	0	0	0	0	0	0	0	0
IGKV2OR2-7D	0	0	0	0	0	0	0	0
IGKV3OR2-5	0	0	0	0	0	0	0	0
IGKV1OR2-6	0	0	0	0	0	0	0	0
IGKV2OR2-7	0	0	0	0	0	0	0	0
IGKV2OR2-8	0	0	0	0	0	0	0	0
IGKV1OR2-11	0	0	0	0	0	0	0	0
ANKRD36B	657	69	170	121	155	257	394	62
COX5B	31348	735	12756	3132	2117	4035	25776	1015
ACTR1B	2604	101	688	311	211	378	2165	113
C2orf92	117	24	78	59	42	121	105	32
ZAP70	9	1	3	2	0	3	3	1
TMEM131	2213	262	707	890	898	1858	1402	420
VWA3B	18	2	0	4	35	24	32	4
CNGA3	7	3	0	4	30	42	7	3
INPP4A	926	78	354	413	319	582	643	161
COA5	4060	126	1243	455	330	771	3301	182
