pluri_rep1	pluri_rep2	pluri_rep3	pluri_rep4	pluri_rep5	pluri_rep6
Ptprtos	11	9	6	6	6	6
Srsf6	2537	1470	775	749	855	914
L3mbtl1	9	4	3	3	6	3
Sgk2	11	11	2	3	5	2
Ift52	357	248	114	114	124	149
Mybl2	2218	1570	878	938	849	885
Gtsf1l	556	389	185	162	217	226
Tox2	22	5	1	0	0	3
Jph2	1	2	1	1	1	0
Oser1	641	442	185	239	241	229
X2900093K20Rik	30	18	19	16	7	12
Gdap1l1	8	13	7	5	3	8
Fitm2	39	31	15	16	16	20
X2310001K24Rik	1	1	0	0	0	0
R3hdml	14	11	7	6	7	4
Hnf4a	1	1	0	0	1	2
Ttpal	15	15	7	5	5	7
Serinc3	422	275	121	123	148	153
X0610039K10Rik	1	1	1	0	1	0
Pkig	378	251	115	119	157	139
Ada	68	46	24	16	32	29
Rims4	42	19	9	11	8	14
Ywhab	1621	1073	501	524	580	626
Pabpc1l	21	8	2	4	4	7
Tomm34	485	292	137	158	179	172
Stk4	405	224	115	138	140	141
Kcns1	4	6	0	1	2	2
Wfdc15a	21	25	12	11	12	7
Slpi	1	2	0	0	2	1
Matn4	3	4	2	2	1	2
Rbpjl	2	4	1	0	0	0
Sdc4	2873	1819	1042	1143	1250	1198
Sys1	1043	648	302	305	369	336
Gm14302	1	0	0	0	2	0
Dbndd2	10	9	1	4	4	2
Pigt	178	103	62	59	65	52
Gm14317	1	0	0	0	0	0
Wfdc2	1773	1141	653	694	730	682
Wfdc10	22	21	6	12	13	6
Wfdc13	4	5	2	3	4	3
Spint5	16	15	6	4	16	5
Wfdc3	2	0	0	2	4	3
Dnttip1	393	242	120	111	141	156
Ube2c	3822	2269	984	1140	1394	1331
Tnnc2	86	47	27	25	17	34
Snx21	81	71	45	31	30	31
Acot8	171	98	87	76	92	83
Zswim3	39	33	16	14	22	16
Zswim1	279	214	120	106	104	148
Neurl2	68	51	20	25	27	23
Ctsa	404	272	162	188	180	216
Pltp	306	202	116	156	134	125
Pcif1	323	266	135	150	144	131
Zfp335	65	47	29	24	26	33
Zfp335os	10	4	4	1	1	6
Mmp9	9	4	2	3	6	0
Slc12a5	6	2	2	3	1	0
Ncoa5	103	75	36	46	42	41
Cd40	11	5	3	2	3	4
Cdh22	2	2	1	1	1	2
Slc35c2	111	80	35	40	54	53
Elmo2	95	78	44	35	42	35
Zfp663	0	0	1	0	0	0
Zfp334	22	22	7	11	8	8
Trp53rka	106	65	34	26	47	34
Slc2a10	2	0	0	0	0	0
Eya2	8	8	2	3	3	7
Zmynd8	501	347	182	194	203	175
Ncoa3	557	360	211	251	220	244
Sulf2	267	172	93	79	118	111
Prex1	78	49	21	22	16	26
Trp53rkb	102	57	31	44	47	43
Arfgef2	108	70	34	32	33	49
Cse1l	850	586	296	298	341	345
Gm17096	0	0	1	0	1	0
Stau1	354	216	90	87	88	100
Ddx27	1619	1129	611	613	685	660
Znfx1	96	82	31	31	32	53
Kcnb1	19	17	6	9	7	6
Ptgis	210	144	74	72	66	84
B4galt5	85	59	28	27	29	30
Slc9a8	70	41	24	28	22	27
Spata2	121	64	50	51	46	52
Rnf114	317	225	143	125	142	140
Snai1	50	33	13	20	14	12
Ube2v1	9	3	5	4	3	4
Tmem189	122	96	50	53	38	53
Cebpb	255	199	80	92	103	85
A530013C23Rik	0	0	0	0	0	0
Ptpn1	573	405	236	209	256	224
Ripor3	1	2	0	0	0	0
Pard6b	85	37	36	20	32	32
Adnp	169	134	55	44	43	50
Dpm1	404	182	112	115	99	113
Mocs3	71	57	28	23	29	31
Kcng1	5	10	5	5	4	5
Nfatc2	32	25	16	14	17	12
Atp9a	125	96	47	37	48	60
Sall4	1641	938	496	499	491	562
Zfp64	314	192	94	96	112	80
Gm9873	8	3	7	6	1	4
Tshz2	10	8	1	1	5	4
Gm26883	1	0	0	0	0	0
Zfp217	174	112	54	65	63	83
Bcas1	38	27	14	13	13	18
Bcas1os1	0	0	0	0	0	0
Pfdn4	1228	689	381	378	481	386
Gm14264	1	3	0	0	0	0
Dok5	2	4	1	4	4	2
Fam210b	208	134	71	69	66	82
Aurka	677	480	277	293	329	324
Cstf1	258	206	91	85	118	115
Cass4	17	11	2	3	3	3
Rtf2	890	568	263	281	334	318
Fam209	3	2	3	0	0	1
Tfap2c	619	446	221	222	249	288
Bmp7	78	56	13	21	24	19
Rae1	1507	955	467	451	575	524
Rbm38	346	246	128	143	170	127
Ctcfl	8	2	3	3	7	4
Ctcflos	2	0	1	0	0	0
Zbp1	94	73	30	40	35	50
Pmepa1	105	74	33	50	40	41
Rab22a	326	203	87	104	123	114
Vapb	460	299	152	136	141	161
Stx16	388	254	127	160	147	160
Npepl1	130	86	53	43	62	67
Nespas	150	93	60	64	68	67
Gnas	1289	721	421	387	459	459
Gm20721	10	0	3	3	1	2
Nelfcd	371	217	111	137	147	140
Ctsz	659	366	244	219	259	236
Atp5e	3032	2383	1338	1571	1466	1445
Prelid3b	646	363	190	190	264	228
Edn3	4	0	1	0	0	3
Gm14393	5	9	1	0	1	0
Gm14399	11	4	3	2	3	3
Gm14443	35	27	12	19	11	15
Gm14391	5	3	5	3	1	1
Gm4631	11	2	1	2	1	4
Zfp968	2	0	0	2	0	2
Gm6710	24	16	8	8	9	5
Zfp966	4	1	2	0	2	3
Gm14308	0	0	1	0	0	0
Zfp973	2	0	4	0	0	0
Gm14305	11	6	0	2	3	4
Gm14295	26	16	13	12	12	10
Gm14296	15	8	8	8	10	11
Gm14419	8	1	3	3	0	0
Gm14401	39	31	13	11	16	15
Gm14410	2	2	4	0	0	2
Gm14409	10	8	4	0	6	4
Gm14412	52	33	19	14	12	10
Gm14418	23	9	6	8	6	8
Zfp970	3	3	4	2	2	0
Gm14403	27	15	11	13	10	10
Gm14322	12	14	3	4	3	3
Gm14325	9	14	4	3	1	4
Gm14326	4	1	2	1	1	1
Zfp971	13	6	6	5	4	8
Gm26869	6	5	2	3	0	3
Zfp931	63	40	17	17	22	13
Phactr3	28	14	11	2	6	5
Sycp2	17	14	8	3	10	5
Ppp1r3d	3	1	1	3	0	3
Fam217b	10	14	4	2	11	2
X4930591A17Rik	11	5	4	3	4	5
Cdh4	20	10	3	4	4	7
Taf4	104	85	40	52	37	38
Lsm14b	266	179	87	87	98	126
Psma7	7565	4798	2480	2444	3047	2839
Ss18l1	21	10	10	10	7	16
Mtg2	140	95	64	42	64	53
Hrh3	0	0	0	0	0	0
Osbpl2	104	66	31	42	44	36
Adrm1	709	351	149	170	150	176
Lama5	99	73	39	35	36	40
Rps21	14035	12082	7296	8168	8248	7728
Cables2	54	33	18	16	27	23
Gata5	0	1	1	0	0	1
B230312C02Rik	4	6	3	7	5	3
Slco4a1	7	4	4	2	4	4
Mrgbp	173	129	70	74	69	64
Ogfr	258	172	103	70	94	88
Col9a3	16	9	2	3	6	8
Tcfl5	517	351	155	125	171	166
Dido1	645	390	211	206	224	225
Gid8	430	294	143	158	172	189
Slc17a9	32	25	23	20	19	16
Gm14342	0	0	1	0	0	0
Gm27032	5	1	1	0	2	0
Ythdf1	756	510	248	269	271	273
Birc7	5	8	3	6	0	7
Nkain4	89	55	21	31	44	36
Arfgap1	89	51	40	39	38	60
Col20a1	0	2	2	2	0	0
Chrna4	3	7	2	1	3	2
Kcnq2	13	6	5	4	1	4
Eef1a2	1	4	0	0	0	0
Ppdpf	1403	861	441	425	558	576
Ptk6	1	1	1	0	1	1
Fndc11	2	3	1	0	0	0
Helz2	7	3	1	1	4	2
Gmeb2	54	37	22	22	35	29
Stmn3	62	36	27	29	32	20
Rtel1	155	106	64	73	62	71
Arfrp1	393	276	144	143	149	153
Zgpat	80	57	33	28	32	32
Zbtb46	40	17	14	9	10	5
Tpd52l2	1120	673	363	378	418	424
Dnajc5	492	315	179	203	203	193
Uckl1	98	50	26	32	32	23
Uckl1os	2	1	0	0	1	2
Zfp512b	80	47	35	27	24	24
Prpf6	610	485	272	282	268	282
Samd10	24	25	20	7	8	7
Sox18	1	1	1	0	2	0
Tcea2	21	19	7	9	11	7
Rgs19	183	102	51	49	78	65
Oprl1	1	2	0	1	2	3
Myt1	1	1	0	1	2	0
Pcmtd2	97	75	27	26	28	25
Polr3k	467	274	150	155	164	163
Nudt11	50	36	13	16	7	14
AU022751	43	34	11	12	26	20
Nudt10	45	15	9	8	14	12
Shroom4	18	15	7	2	3	4
Dgkk	7	3	1	3	1	0
Clcn5	140	54	34	53	48	54
Usp27x	18	10	8	8	8	4
Ppp1r3f	11	8	3	1	8	3
Flicr	7	1	0	0	4	1
Ccdc22	120	91	51	46	50	50
Syp	1	4	4	3	3	5
Gm14703	1	1	0	1	2	1
Prickle3	5	10	3	3	6	2
Plp2	358	270	155	187	237	218
Gpkow	70	35	33	26	19	27
Wdr45	174	107	67	84	87	91
Praf2	216	154	98	81	101	85
Ccdc120	43	40	19	12	15	18
Tfe3	525	308	203	189	165	187
Gripap1	123	92	37	41	43	60
Kcnd1	11	8	5	4	4	3
Otud5	404	251	125	113	124	133
Pim2	209	131	91	61	64	61
Slc35a2	72	37	36	34	33	24
Pqbp1	325	230	118	140	153	130
Timm17b	818	482	229	280	299	323
Pcsk1n	330	221	159	129	160	144
Eras	473	275	155	161	201	162
Hdac6	254	162	92	83	92	81
Gata1	2	5	1	0	0	2
Glod5	33	24	14	18	15	13
Gm14820	87	72	23	24	37	51
Suv39h1	183	122	64	70	70	61
Was	29	12	8	4	8	14
Wdr13	45	29	19	16	16	15
Rbm3	6733	4055	1995	2193	2433	2364
Rbm3os	1	4	2	0	4	1
Tbc1d25	56	43	13	7	35	22
Ebp	522	335	141	152	210	202
Porcn	320	181	105	104	134	135
Ftsj1	152	98	71	69	79	68
Slc38a5	4	3	3	1	2	0
B630019K06Rik	9	3	1	0	5	3
Fthl17c	64	44	16	21	26	24
Fthl17e	8	7	3	3	2	2
Fthl17f	55	27	17	22	20	30
Lancl3	8	6	1	1	0	0
Gm14862	0	0	0	0	0	0
Xk	44	24	26	8	15	8
Dynlt3	91	59	43	30	32	41
Hypm	0	0	1	0	0	0
Sytl5	3	0	0	0	0	0
Srpx	0	0	0	0	0	0
Rpgr	129	80	50	52	57	52
Tspan7	37	27	19	15	9	11
Mid1ip1	171	92	60	60	64	58
Bcor	421	229	104	118	127	119
Atp6ap2	482	288	129	143	171	149
X1810030O07Rik	224	157	57	74	62	84
Med14	174	101	66	61	51	71
Usp9x	2741	1935	947	952	890	994
Ddx3x	2353	1501	811	830	842	913
Cask	73	58	27	28	31	29
Maoa	155	115	44	53	73	61
Maob	5	4	2	3	5	6
Efhc2	28	7	3	9	3	12
Fundc1	124	84	37	32	65	50
Kdm6a	381	248	160	154	170	149
Gm26652	2	0	1	3	3	0
Chst7	2	5	3	3	2	4
Slc9a7	11	2	2	0	0	4
Rp2	99	69	39	48	31	41
Jade3	363	250	126	144	128	127
Rgn	2	2	0	0	2	1
Ndufb11	2046	1424	721	766	907	839
Rbm10	454	293	161	180	156	170
Uba1	1308	959	467	449	488	552
Cdk16	293	175	104	107	121	100
Usp11	191	141	81	74	79	67
Araf	246	232	109	104	120	101
Syn1	27	30	9	11	14	18
Timp1	336	194	87	122	103	117
Cfp	9	10	4	8	14	7
Elk1	100	75	40	34	47	26
Uxt	511	300	198	174	199	203
Zfp182	58	45	23	23	14	26
Zfp300	2	7	6	3	5	1
Agtr2	1	1	0	0	0	0
Klhl13	818	472	260	217	246	270
Wdr44	116	78	51	47	36	49
Dock11	182	96	38	50	52	47
Il13ra1	18	12	3	1	4	5
Zcchc12	10	3	4	1	0	1
Lonrf3	18	18	14	10	1	6
Gm14569	14	16	4	4	8	4
Pgrmc1	679	391	234	219	220	192
Akap17b	172	121	78	58	79	109
Slc25a43	20	12	5	4	13	9
Slc25a5	7382	4561	2487	2502	3002	2962
Mdrl	55	29	15	22	19	28
Gm14549	3	0	2	0	0	0
C330007P06Rik	151	100	58	47	45	55
Ube2a	2383	1390	723	725	851	867
Nkrf	97	69	17	37	29	45
Sept6	225	134	73	70	90	68
Sowahd	1	0	2	0	0	0
Rpl39	13695	12125	7160	7950	7636	7303
Upf3b	980	676	319	352	404	408
Nkap	589	396	237	234	276	248
Akap14	1	0	0	0	1	0
Ndufa1	750	613	342	380	372	331
Rnf113a1	125	81	41	36	54	60
Gm9	221	135	49	54	78	90
Rhox1	139	79	36	31	55	44
Rhox2a	4	4	4	2	4	0
Rhox4c	0	0	2	0	3	0
Rhox5	3666	2236	1095	1054	1523	1452
Rhox6	322	185	82	76	146	136
Rhox7b	18	11	2	3	6	7
Rhox9	349	197	95	91	158	153
Rhox10	26	13	7	6	9	9
Rhox13	40	29	28	19	17	24
Zbtb33	35	26	13	15	10	12
Tmem255a	6	1	1	2	2	0
Lamp2	418	266	143	156	143	153
Gm7598	4	3	3	1	1	0
Cul4b	1469	926	476	463	461	461
Mcts1	470	284	141	148	177	195
C1galt1c1	53	28	20	16	23	17
Gria3	7	5	1	3	4	2
Thoc2	953	730	355	365	371	406
Xiap	188	121	71	77	85	83
Stag2	431	269	145	136	146	140
Tenm1	6	1	1	1	2	2
Dcaf12l1	106	82	56	40	48	43
Prr32	0	0	0	0	0	0
Smarca1	37	36	14	17	7	16
Ocrl	145	82	50	56	49	47
Apln	15	6	3	3	11	4
Zdhhc9	76	57	28	22	27	25
Utp14a	825	522	316	323	338	353
X9530027J09Rik	1	0	2	0	0	3
Bcorl1	51	27	13	18	14	18
Elf4	19	11	4	1	9	3
Aifm1	526	352	174	158	201	202
Rab33a	36	27	15	14	11	8
Zfp280c	59	51	20	20	26	25
Slc25a14	45	29	18	19	23	21
Rbmx2	618	398	222	221	246	243
Enox2	59	33	34	20	18	29
Arhgap36	1	1	0	1	0	0
Igsf1	6	5	3	2	1	1
Olfr1322	0	0	1	0	0	0
Stk26	55	43	11	17	16	21
Frmd7	0	0	0	0	0	0
Rap2c	214	118	61	69	66	89
Mbnl3	39	16	7	5	3	6
Hs6st2	27	23	10	6	13	8
Usp26	895	640	343	338	342	341
Gpc4	62	41	19	25	35	19
Gpc3	229	152	91	95	115	108
Ccdc160	66	35	13	23	23	24
Phf6	230	175	89	78	72	100
Hprt	1578	928	495	547	553	549
Gm28730	1	0	1	0	1	0
Plac1	1	0	1	0	1	1
Fam122b	127	76	47	36	70	54
Mospd1	94	33	24	33	27	36
Rtl8a	11	7	5	4	5	6
Rtl8b	13	16	6	2	3	6
X1700013H16Rik	414	221	120	89	140	134
Zfp36l3	3	1	0	0	0	0
Xlr	6	5	3	4	3	14
X3830403N18Rik	6	5	4	5	1	2
Zfp449	30	20	12	11	14	16
Smim10l2a	26	15	13	12	17	11
Ints6l	38	37	20	12	18	18
Mmgt1	75	32	22	23	26	16
Slc9a6	51	37	13	8	19	13
Fhl1	137	86	51	48	49	48
Map7d3	115	69	29	38	37	37
Htatsf1	655	475	256	239	282	268
Arhgef6	3	3	1	2	2	3
Rbmx	86	70	37	34	30	41
Gm364	22	11	5	4	3	2
Gpr101	0	1	0	0	0	0
Zic3	447	265	164	154	161	180
Fgf13	18	10	3	7	3	2
Mcf2	247	167	103	77	99	89
Atp11c	104	68	39	38	35	41
Sox3	47	31	10	14	15	13
Gm14662	0	0	0	0	0	0
C230004F18Rik	1	3	0	2	0	0
Ldoc1	25	15	8	10	12	8
X4933402E13Rik	20	17	16	10	18	17
Tslrn1	80	47	23	24	27	31
X3830417A13Rik	4	4	1	6	1	5
Slitrk4	2	2	0	1	1	0
Slitrk2	2	1	0	0	0	0
Fmr1	959	577	299	331	287	355
Fmr1nb	558	339	189	219	244	252
Gm14698	7	4	2	0	0	1
Aff2	3	3	2	4	1	0
Ids	16	17	2	4	12	9
X1110012L19Rik	207	124	75	72	77	90
Tmem185a	58	34	10	13	21	26
Mamld1	0	1	0	1	0	0
Mtm1	44	35	26	8	13	18
Mtmr1	33	22	10	15	14	10
Cd99l2	28	15	13	7	13	18
Hmgb3	1035	666	358	374	417	440
Gpr50	8	4	3	1	3	1
Vma21	275	190	100	86	126	102
Gm1141	26	7	4	3	4	3
Prrg3	20	9	5	2	4	8
Gabre	6	5	0	1	2	1
Gabra3	0	2	0	1	0	0
Cetn2	383	269	126	121	154	141
Nsdhl	221	140	63	57	77	69
Zfp185	26	22	10	16	9	6
Pnma5	182	143	66	85	52	75
Xlr4a	27	4	5	3	12	11
Xlr3a	55	62	31	16	34	49
Xlr3b	49	34	19	22	28	21
Xlr4b	11	7	3	3	6	4
F8a	36	29	17	12	18	9
Xlr3c	4	6	4	0	1	1
Xlr5c	14	4	2	5	0	0
Zfp275	29	26	16	18	18	11
Gm18336	32	19	13	15	16	14
Trex2	1	2	0	0	0	1
Haus7	257	173	101	90	129	123
Bgn	4	1	5	4	1	2
Dusp9	190	97	52	70	85	70
Pnck	7	4	4	5	2	3
Slc6a8	114	71	47	40	49	63
Bcap31	1080	718	395	401	515	502
Abcd1	43	24	14	10	15	11
Idh3g	1131	798	377	428	498	482
Ssr4	1983	1273	678	706	821	750
Pdzd4	234	179	91	101	85	103
L1cam	3	6	4	7	2	3
Arhgap4	13	12	5	3	8	9
Naa10	661	459	239	254	350	313
Renbp	338	234	102	105	128	120
Hcfc1	672	450	244	264	221	273
Irak1	176	124	61	62	60	70
Mecp2	136	109	50	47	54	58
Tktl1	9	3	0	1	4	4
Flna	436	312	174	209	188	192
Emd	626	357	181	183	218	215
Rpl10	138	103	55	78	79	80
Dnase1l1	10	2	4	3	4	3
Taz	96	65	38	29	40	39
Atp6ap1	193	109	72	69	79	68
Gdi1	186	157	76	65	95	78
Fam50a	761	560	308	290	322	311
Plxna3	16	15	5	6	9	8
Lage3	1163	676	378	386	422	437
Ubl4a	528	340	183	188	241	212
Slc10a3	12	14	7	9	8	7
Fam3a	55	40	16	30	22	22
Ikbkg	40	25	16	17	19	19
G6pdx	150	105	63	65	58	42
Gab3	8	8	3	1	2	6
Dkc1	2836	1759	910	908	1055	1070
Mpp1	314	183	93	82	122	112
F8	16	16	4	3	6	1
Fundc2	594	472	210	209	245	257
Cmc4	52	34	27	21	21	20
Mtcp1	12	4	2	2	3	5
Brcc3	327	226	113	111	132	134
Vbp1	1387	892	440	454	520	456
Rab39b	35	24	9	7	7	14
Gm15063	7	2	1	4	5	1
Pls3	389	263	103	119	95	101
Tbl1x	801	500	276	272	278	318
Prkx	70	45	27	28	24	41
Prrg1	12	9	1	3	1	7
Gm7173	5	3	1	1	1	3
Mageb16	423	243	136	137	164	160
Gm26775	0	0	2	0	1	0
Tmem47	68	45	31	31	22	22
Dmd	154	82	57	55	52	47
Fthl17a	14	13	3	0	4	5
Tab3	138	77	49	49	47	57
Gk	104	75	36	35	27	40
Nr0b1	902	453	278	285	276	306
Mageb4	7	2	3	3	2	0
Il1rapl1	6	0	0	0	0	0
Pet2	0	0	0	0	0	0
Gm44	19	8	6	0	0	0
Arx	8	3	2	6	1	3
Pola1	610	373	229	205	206	209
Pcyt1b	86	63	33	28	43	32
Pdk3	361	248	114	106	124	135
AU015836	34	25	17	18	22	26
Zfx	381	196	115	122	135	144
Eif2s3x	793	514	252	235	319	288
Klhl15	60	53	24	29	25	21
Apoo	276	219	98	96	103	112
Gm14827	2	3	0	1	0	2
Maged1	804	521	260	224	311	283
Gspt2	177	113	53	65	52	60
Zxdb	16	10	2	6	4	11
Gm39526	0	0	1	0	0	0
Gm26617	0	0	0	0	0	0
Spin4	11	7	4	2	5	5
Arhgef9	15	6	6	5	3	3
Amer1	103	73	40	39	50	42
Asb12	0	0	0	0	1	0
Zc4h2	20	24	8	8	6	9
Zc3h12b	8	5	3	2	2	1
Las1l	1131	778	399	446	450	456
Msn	501	331	138	142	159	156
Heph	9	5	4	5	3	0
Eda2r	137	85	54	46	46	46
Ar	17	5	3	4	5	4
Ophn1	23	16	6	8	9	6
Yipf6	132	110	50	51	60	57
Stard8	28	23	10	15	15	12
Efnb1	44	35	16	10	19	12
Pja1	167	100	43	49	61	52
Tmem28	14	7	5	6	6	5
Eda	12	13	2	1	3	8
Awat2	4	1	2	0	1	0
Igbp1	549	374	192	191	207	195
Dgat2l6	3	1	0	0	0	0
Pdzd11	375	207	128	93	152	136
Kif4	429	269	133	156	150	164
Gdpd2	6	4	2	1	0	4
Dlg3	90	65	34	31	20	25
Tex11	98	67	27	42	34	36
Slc7a3	594	404	229	228	245	204
Snx12	362	207	125	106	129	110
Foxo4	66	41	27	18	22	29
Il2rg	8	2	3	6	3	4
Med12	119	103	35	62	63	64
Nlgn3	10	2	2	0	1	2
Gjb1	39	35	10	11	13	14
Zmym3	246	176	82	73	81	87
Nono	2489	1715	819	812	824	864
Itgb1bp2	5	1	1	2	0	0
Taf1	587	397	210	210	204	228
Ogt	670	467	283	284	286	284
Gm4779	117	75	18	28	40	38
X8030474K03Rik	75	45	22	28	21	30
Nhsl2	15	8	6	5	0	5
Rtl5	1	1	1	2	1	0
Pin4	811	545	335	326	428	391
Ercc6l	353	194	91	95	116	106
Rps4x	28481	21284	10650	10826	12983	12710
Cited1	85	33	27	33	46	41
Hdac8	71	39	16	17	24	32
Phka1	30	23	9	11	14	11
Gm3880	12	6	4	10	3	7
Gm9112	316	245	112	140	179	142
Dmrtc1b	22	9	5	4	9	2
Dmrtc1a	1	1	0	0	3	0
Nap1l2	16	9	5	7	10	5
Cdx4	3	4	3	0	0	0
Chic1	114	58	44	42	29	40
Tsx	6	10	4	5	6	4
Tsix	55	36	16	26	19	11
Xist	35	19	6	3	2	12
Jpx	4	4	4	1	0	1
Ftx	7	3	2	3	5	5
Slc16a2	5	2	2	3	5	0
Rlim	1266	901	495	431	414	426
Nexmif	442	268	181	153	186	160
Abcb7	211	127	59	50	66	69
Uprt	7	10	3	2	2	7
Zdhhc15	21	15	8	4	4	9
Magee2	3	2	1	2	0	0
Pbdc1	1190	760	404	423	487	438
Magee1	13	12	8	7	3	2
X5330434G04Rik	5	3	4	1	3	5
Atrx	5450	3644	2033	1994	2111	2247
Magt1	365	263	153	151	168	163
Cox7b	4610	3506	1893	2037	2129	2145
Atp7a	96	60	22	40	45	48
Tlr13	1	0	1	0	0	0
Pgk1	10246	7620	3506	3756	4472	4264
Taf9b	36	21	17	19	17	15
Fndc3c1	23	3	4	5	2	4
Cysltr1	4	2	2	2	0	1
Rtl3	0	2	0	1	0	1
Lpar4	146	71	32	38	29	33
Itm2a	165	111	47	69	61	62
X2610002M06Rik	105	55	36	24	36	35
Gm379	0	0	0	0	0	0
Brwd3	308	171	90	105	104	107
Hmgn5	1095	722	494	502	478	504
Sh3bgrl	217	142	66	59	65	74
Pou3f4	3	1	1	0	1	2
Rps6ka6	275	183	88	91	65	81
Hdx	40	19	17	13	16	8
Gm45194	2	1	0	0	0	0
Tex16	6	0	2	2	4	2
Apool	317	193	107	112	120	142
Zfp711	20	14	12	9	9	5
Pof1b	13	8	5	5	3	3
Chm	203	168	71	67	77	92
Dach2	6	3	4	1	2	2
Klhl4	0	0	0	2	0	2
Pabpc5	0	0	1	0	1	0
Pcdh11x	2	0	1	1	2	0
Nap1l3	19	8	6	4	10	4
Cldn34c1	13	12	6	2	2	3
Diaph2	216	132	70	86	68	53
Pcdh19	33	21	17	16	15	8
Tspan6	86	71	46	30	33	46
Srpx2	0	0	0	0	0	0
Sytl4	2	1	0	1	1	0
Cstf2	284	166	82	91	101	91
Nox1	4	1	0	3	2	3
Xkrx	0	1	1	0	0	0
Trmt2b	32	27	8	11	8	17
Tmem35a	12	10	2	2	1	3
Cenpi	91	77	45	30	37	32
Drp2	0	2	0	1	1	2
Taf7l	145	69	35	41	50	56
Timm8a1	1431	908	409	427	561	491
Btk	0	0	0	0	0	0
Rpl36a	5520	3650	1701	1655	1483	1592
Gla	136	78	53	38	55	55
Hnrnph2	444	292	158	147	149	154
Armcx4	117	71	38	31	34	31
Armcx1	253	196	97	93	116	96
Armcx6	25	13	6	9	7	6
Armcx3	107	60	20	18	28	19
Armcx2	106	75	38	28	39	39
Nxf2	21	16	3	5	8	2
Zmat1	11	3	3	2	2	2
Tceal6	1	2	0	0	1	2
Nxf7	6	2	1	2	3	1
Tcp11x2	4	4	1	0	1	0
Gprasp1	302	196	96	83	112	107
Armcx5	297	151	75	73	97	85
Bhlhb9	252	150	58	73	78	68
Gprasp2	182	103	61	53	48	61
Arxes2	175	114	56	54	53	57
Arxes1	133	122	56	58	71	76
Bex2	857	568	304	320	429	358
Nxf3	29	16	6	11	4	6
Bex4	3687	2126	976	986	1176	1162
Tceal8	886	544	288	338	333	321
Tceal5	5	7	3	4	7	5
Bex1	5219	3189	1713	1871	2206	2178
Tceal7	14	7	5	3	6	4
Tceal9	2302	1343	748	858	943	887
Bex3	4318	2606	1347	1429	1716	1651
Tceal3	4	4	2	0	1	1
Tceal1	20	13	3	9	8	13
Morf4l2	2269	1537	742	740	853	833
Plp1	12	22	7	14	11	10
H2bfm	14	6	5	5	7	4
Tmsb15l	10	2	2	2	1	1
Tmsb15b2	26	7	3	3	4	2
Tmsb15b1	46	54	30	31	41	31
Slc25a53	35	23	10	11	5	7
Zcchc18	15	19	10	12	10	14
Fam199x	82	41	35	36	22	29
Esx1	30	24	19	21	23	23
Nrk	86	56	42	25	42	51
Mum1l1	80	40	19	24	36	28
Trap1a	2962	1995	993	1041	1193	1153
D330045A20Rik	12	8	2	0	1	0
Rnf128	173	116	76	74	67	77
Tbc1d8b	12	6	3	4	7	3
Gm15013	441	339	108	134	156	135
Ripply1	20	14	8	4	5	6
Cldn2	4	0	0	0	0	2
Morc4	83	47	27	20	30	41
Rbm41	73	47	21	14	19	26
Nup62cl	324	210	108	116	145	132
Pih1h3b	1	0	1	2	0	0
Frmpd3	1	1	0	2	0	0
Prps1	1140	696	366	386	431	424
Tsc22d3	31	28	10	8	17	6
Mid2	1	0	0	0	1	2
Tex13b	14	10	7	9	4	10
Psmd10	396	279	141	153	179	164
Atg4a	16	7	4	4	3	3
Col4a6	1	0	2	1	0	1
Col4a5	4	2	2	3	4	4
Irs4	16	10	5	5	1	3
Nxt2	150	96	36	35	52	47
Kcne1l	4	1	1	0	0	0
Acsl4	133	80	33	35	26	34
Tmem164	28	10	9	8	10	11
Ammecr1	87	87	19	36	40	29
Chrdl1	3	2	0	1	2	0
Pak3	23	18	6	5	7	10
Capn6	22	16	5	9	9	9
Dcx	1	8	1	0	2	2
Alg13	1911	1325	679	680	708	757
Trpc5	1	4	2	3	0	4
Trpc5os	4	3	1	1	1	2
Rtl4	0	0	1	0	0	0
Amot	55	26	18	16	19	20
Lrch2	133	88	39	48	53	65
Gm15097	7	2	2	3	4	0
Tmem29	258	165	82	96	90	101
Apex2	98	54	28	33	44	45
Alas2	0	1	0	0	0	0
Pfkfb1	46	36	12	15	19	24
Tro	199	118	63	72	82	80
Maged2	176	115	63	45	93	86
Gnl3l	443	363	172	177	173	202
Fgd1	622	394	203	250	222	225
Tsr2	252	165	75	85	110	82
Wnk3	300	170	101	110	110	128
A230072E10Rik	5	4	3	5	4	1
Fam120c	5	3	0	1	3	3
Phf8	100	64	37	34	34	40
Huwe1	1794	1332	669	654	622	693
Hsd17b10	1058	701	388	400	439	375
Ribc1	128	96	44	38	43	63
Smc1a	2172	1374	702	732	749	779
Iqsec2	13	6	3	7	6	9
Kdm5c	397	282	154	160	157	175
Kantr	26	16	18	16	22	15
Tspyl2	135	88	53	44	40	48
Gpr173	10	8	5	6	8	15
Shroom2	130	87	43	62	40	59
Gpr143	3	0	3	0	2	0
Usp51	50	32	13	19	14	14
Mageh1	62	40	16	24	11	28
Foxr2	8	6	2	1	2	0
Rragb	130	104	46	35	44	63
Klf8	67	52	25	28	20	31
Ubqln2	239	150	80	64	85	93
Cypt3	4	0	1	1	0	0
Kctd12b	12	10	5	6	8	5
Nbdy	256	164	89	97	98	103
Spin2c	27	23	18	14	8	12
